#
#   VizieR Astronomical Server: vizier.cfa.harvard.edu	2009-01-09T21:25:23
#   (replaces the 'Astrores' format originally described at
#    http://vizier.u-strasbg.fr/doc/astrores.htx)
#   In case of problem, please report to:	question@simbad.u-strasbg.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	-ref=VOTx29957	
#INFO	-out.max=50000	

#RESOURCE=yCat_6049
#Name: VI/49
#Title: Constellation Boundary Data (Davenhall+ 1989)
#INFO	status=obsolete	
#Table	VI_49_bound_20:
#Name: VI/49/bound_20
#Title: Boundaries for 2000
#Column	RAJ2000	(A13)	Right ascension in decimal hours (J2000)	[ucd=?]
#Column	DEJ2000	(F11.7)	Declination in degrees (J2000)	[ucd=?]
#Column	con	(a4)	Constellation abbreviation	[ucd=?]
#Column	type	(A1)	[OI] Type of point (Original or Interpolated)	[ucd=?]
RAJ2000	DEJ2000	con	type
00 44 55.7203	 46.6847420	AND 	I
00 48 58.7513	 46.6824379	AND 	I
00 53 01.7707	 46.6799202	AND 	I
00 57 04.7415	 46.6771965	AND 	I
00 59 06.2585	 46.6757545	AND 	O
00 59 07.7640	 47.6757469	AND 	I
00 59 09.3282	 48.6757393	AND 	O
01 03 12.4967	 48.6726990	AND 	I
01 07 15.6861	 48.6694489	AND 	I
01 11 18.8585	 48.6659966	AND 	I
01 14 21.2179	 48.6632690	AND 	O
01 14 23.2743	 49.6632500	AND 	I
01 14 25.4169	 50.6632347	AND 	O
01 18 28.7521	 50.6594200	AND 	I
01 22 32.1027	 50.6553993	AND 	I
01 26 35.4325	 50.6511765	AND 	I
01 29 37.9047	 50.6478767	AND 	O
01 33 41.1567	 50.6433029	AND 	I
01 37 44.4205	 50.6385307	AND 	I
01 41 47.6581	 50.6335640	AND 	I
01 45 50.8327	 50.6283989	AND 	I
01 47 52.4457	 50.6257439	AND 	O
01 47 49.3581	 49.6257782	AND 	I
01 47 46.3945	 48.6258125	AND 	I
01 47 43.5455	 47.6258430	AND 	O
01 51 46.3601	 47.6203957	AND 	I
01 55 49.1851	 47.6147575	AND 	I
01 59 51.9821	 47.6089287	AND 	I
02 03 54.7153	 47.6029167	AND 	I
02 07 57.4565	 47.5967178	AND 	I
02 10 29.1579	 47.5927505	AND 	O
02 10 32.5661	 48.5927048	AND 	I
02 10 36.1117	 49.5926552	AND 	I
02 10 39.8061	 50.5926094	AND 	I
02 10 41.7123	 51.0925827	AND 	O
02 14 44.7213	 51.0860786	AND 	I
02 18 47.7303	 51.0793915	AND 	I
02 22 50.7033	 51.0725288	AND 	I
02 26 53.6031	 51.0654869	AND 	I
02 30 56.5017	 51.0582733	AND 	I
02 34 59.3595	 51.0508881	AND 	I
02 39 02.1427	 51.0433311	AND 	I
02 39 32.5149	 51.0423737	AND 	O
02 39 28.0145	 50.0424461	AND 	I
02 39 23.6981	 49.0425110	AND 	I
02 39 19.5527	 48.0425797	AND 	I
02 39 15.5639	 47.0426407	AND 	I
02 39 11.7231	 46.0427017	AND 	I
02 39 08.0187	 45.0427628	AND 	I
02 39 04.4403	 44.0428162	AND 	I
02 39 00.9821	 43.0428696	AND 	I
02 38 57.6341	 42.0429268	AND 	I
02 38 54.3905	 41.0429764	AND 	I
02 38 51.2430	 40.0430260	AND 	I
02 38 48.1873	 39.0430756	AND 	I
02 38 45.2169	 38.0431213	AND 	I
02 38 43.0419	 37.2931557	AND 	O
02 34 41.3065	 37.3006973	AND 	I
02 30 39.5463	 37.3080711	AND 	I
02 26 37.7985	 37.3152733	AND 	I
02 22 35.9919	 37.3223038	AND 	I
02 18 34.1622	 37.3291588	AND 	I
02 14 32.3455	 37.3358345	AND 	I
02 10 30.4719	 37.3423309	AND 	I
02 07 29.0619	 37.3470840	AND 	O
02 07 26.7297	 36.3471146	AND 	I
02 07 25.0201	 35.5971375	AND 	O
02 03 23.2283	 35.6033134	AND 	I
01 59 21.4533	 35.6093025	AND 	I
01 55 19.6245	 35.6151047	AND 	I
01 51 17.7779	 35.6207199	AND 	I
01 47 15.9504	 35.6261444	AND 	I
01 43 14.0700	 35.6313782	AND 	I
01 39 12.1737	 35.6364174	AND 	I
01 35 10.2984	 35.6412582	AND 	I
01 31 38.6004	 35.6453362	AND 	O
01 31 36.9721	 34.6453514	AND 	I
01 31 35.3823	 33.6453705	AND 	O
01 27 33.6197	 33.6498375	AND 	I
01 23 31.8081	 33.6541100	AND 	I
01 19 29.9849	 33.6581841	AND 	I
01 15 28.1859	 33.6620522	AND 	I
01 11 26.3400	 33.6657181	AND 	I
01 07 24.4845	 33.6691780	AND 	I
01 03 22.6548	 33.6724358	AND 	I
00 59 20.7801	 33.6754837	AND 	I
00 55 18.8969	 33.6783295	AND 	I
00 51 17.0417	 33.6809616	AND 	I
00 49 46.3353	 33.6818962	AND 	O
00 49 45.5019	 32.6819000	AND 	I
00 49 44.6865	 31.6819019	AND 	I
00 49 43.8891	 30.6819096	AND 	I
00 49 43.1079	 29.6819115	AND 	I
00 49 42.3419	 28.6819153	AND 	I
00 49 41.5902	 27.6819210	AND 	I
00 49 40.8525	 26.6819229	AND 	I
00 49 40.1275	 25.6819267	AND 	I
00 49 39.4143	 24.6819305	AND 	I
00 49 39.2379	 24.4319324	AND 	O
00 53 40.4913	 24.4293823	AND 	I
00 57 41.7755	 24.4266243	AND 	I
00 57 41.7755	 24.4266243	AND 	O
00 57 40.9579	 23.4266281	AND 	I
00 57 40.1523	 22.4266338	AND 	I
00 57 39.5557	 21.6766376	AND 	O
00 53 38.4327	 21.6793938	AND 	I
00 49 37.3411	 21.6819420	AND 	I
00 45 36.2095	 21.6842804	AND 	I
00 41 35.0733	 21.6864109	AND 	I
00 37 33.9705	 21.6883316	AND 	I
00 33 32.8281	 21.6900406	AND 	I
00 29 31.6824	 21.6915398	AND 	I
00 25 30.5709	 21.6928253	AND 	I
00 21 29.4213	 21.6938992	AND 	I
00 17 28.2699	 21.6947613	AND 	I
00 14 57.5811	 21.6951923	AND 	O
00 14 57.7547	 22.6951923	AND 	O
00 10 56.5421	 22.6957092	AND 	I
00 10 26.4039	 22.6957588	AND 	O
00 10 26.5127	 23.6957569	AND 	I
00 10 26.6225	 24.6957588	AND 	I
00 10 26.7345	 25.6957588	AND 	I
00 10 26.8482	 26.6957569	AND 	I
00 10 26.9641	 27.6957588	AND 	I
00 10 27.0822	 28.6957588	AND 	O
00 06 25.4919	 28.6960354	AND 	O
00 06 25.5456	 29.6960354	AND 	I
00 06 25.5999	 30.6960354	AND 	I
00 06 25.6557	 31.6960335	AND 	I
00 06 25.6745	 32.0293655	AND 	O
00 06 25.6745	 32.0293655	AND 	I
00 06 25.6770	 32.0293655	AND 	I
00 02 23.8589	 32.0294266	AND 	I
23 58 22.0707	 32.0292778	AND 	I
23 54 20.2547	 32.0289154	AND 	I
23 51 18.8979	 32.0285034	AND 	O
23 51 18.7398	 32.7785072	AND 	O
23 47 16.8759	 32.7777710	AND 	I
23 43 15.0463	 32.7768211	AND 	I
23 39 13.1889	 32.7756577	AND 	I
23 36 11.7979	 32.7746468	AND 	O
23 36 11.3105	 33.7746429	AND 	I
23 36 10.8162	 34.7746429	AND 	I
23 36 10.6031	 35.1913109	AND 	O
09 46 42.0183	-24.5768433	ANT 	I
09 42 40.9611	-24.5699406	ANT 	I
09 38 39.8832	-24.5628624	ANT 	I
09 34 38.8193	-24.5556126	ANT 	I
09 30 37.8069	-24.5481949	ANT 	I
09 27 37.0404	-24.5425186	ANT 	O
09 27 34.8192	-25.5424843	ANT 	I
09 27 32.5602	-26.5424480	ANT 	I
09 27 30.2631	-27.5424118	ANT 	I
09 27 27.9216	-28.5423756	ANT 	I
09 27 25.5355	-29.5423374	ANT 	I
09 27 23.1015	-30.5422993	ANT 	I
09 27 20.6193	-31.5422573	ANT 	I
09 27 18.0821	-32.5422173	ANT 	I
09 27 15.4865	-33.5421791	ANT 	I
09 27 12.8325	-34.5421333	ANT 	I
09 27 10.1135	-35.5420914	ANT 	I
09 27 07.3260	-36.5420494	ANT 	I
09 27 05.1837	-37.2920151	ANT 	O
09 27 02.2651	-38.2919693	ANT 	I
09 26 59.2645	-39.2919197	ANT 	I
09 26 56.1747	-40.2918739	ANT 	O
09 30 58.0662	-40.2994461	ANT 	I
09 35 00.0229	-40.3068504	ANT 	I
09 39 02.0037	-40.3140831	ANT 	I
09 43 03.9741	-40.3211441	ANT 	I
09 47 06.0065	-40.3280334	ANT 	I
09 51 08.0661	-40.3347435	ANT 	I
09 55 10.1121	-40.3412704	ANT 	I
09 59 12.2197	-40.3476181	ANT 	I
10 03 14.3481	-40.3537865	ANT 	I
10 07 16.4629	-40.3597641	ANT 	I
10 11 18.6357	-40.3655586	ANT 	I
10 15 20.8293	-40.3711624	ANT 	I
10 19 23.0059	-40.3765755	ANT 	I
10 23 25.2405	-40.3817940	ANT 	I
10 27 27.4925	-40.3868217	ANT 	I
10 31 29.7239	-40.3916512	ANT 	I
10 35 32.0136	-40.3962860	ANT 	I
10 39 34.3170	-40.4007225	ANT 	I
10 43 36.5999	-40.4049568	ANT 	I
10 47 38.9415	-40.4089928	ANT 	I
10 51 41.2895	-40.4128227	ANT 	I
10 55 43.6170	-40.4164505	ANT 	I
10 59 45.9924	-40.4198723	ANT 	I
11 03 48.3819	-40.4230919	ANT 	I
11 05 49.5611	-40.4246216	ANT 	O
11 05 50.7765	-39.4246292	ANT 	I
11 05 51.9609	-38.4246368	ANT 	I
11 05 53.1075	-37.4246445	ANT 	I
11 05 54.2267	-36.4246483	ANT 	I
11 05 55.0471	-35.6746559	ANT 	O
11 01 53.0321	-35.6715469	ANT 	I
10 57 51.0617	-35.6682320	ANT 	I
10 55 50.0437	-35.6664963	ANT 	O
10 55 51.2969	-34.6665039	ANT 	I
10 55 52.5227	-33.6665154	ANT 	I
10 55 53.7175	-32.6665230	ANT 	I
10 55 54.6924	-31.8332005	ANT 	O
10 51 53.0071	-31.8295822	ANT 	I
10 47 51.2973	-31.8257599	ANT 	I
10 43 49.5912	-31.8217373	ANT 	I
10 40 48.3309	-31.8185863	ANT 	O
10 40 49.7280	-30.8186016	ANT 	I
10 40 51.0945	-29.8186131	ANT 	O
10 36 49.5771	-29.8142414	ANT 	I
10 32 48.0357	-29.8096714	ANT 	I
10 28 46.5049	-29.8049030	ANT 	I
10 24 45.0219	-29.7999420	ANT 	I
10 20 43.5185	-29.7947845	ANT 	O
10 20 45.1665	-28.7948036	ANT 	I
10 20 46.7801	-27.7948189	ANT 	I
10 20 47.8410	-27.1281624	ANT 	O
10 16 46.5057	-27.1228161	ANT 	I
10 12 45.2185	-27.1172810	ANT 	I
10 08 43.9069	-27.1115551	ANT 	I
10 04 42.6061	-27.1056423	ANT 	I
10 00 41.3601	-27.0995464	ANT 	I
09 56 40.0866	-27.0932636	ANT 	I
09 52 38.8305	-27.0868015	ANT 	I
09 50 38.2279	-27.0835037	ANT 	O
09 50 40.2087	-26.0835304	ANT 	I
09 50 42.1587	-25.0835571	ANT 	I
09 50 43.1235	-24.5835705	ANT 	O
13 51 29.6370	-76.6233521	APS 	I
13 51 55.2247	-77.6230698	APS 	I
13 52 25.2383	-78.6227417	APS 	I
13 53 00.9471	-79.6223450	APS 	I
13 53 44.1783	-80.6218643	APS 	I
13 54 37.6233	-81.6212769	APS 	I
13 55 45.4260	-82.6205292	APS 	I
13 56 26.6661	-83.1200714	APS 	O
14 00 47.7803	-83.1142120	APS 	I
14 05 08.6885	-83.1081467	APS 	I
14 09 29.3425	-83.1018829	APS 	I
14 13 49.7046	-83.0954285	APS 	I
14 18 09.8370	-83.0887756	APS 	I
14 22 29.6979	-83.0819321	APS 	I
14 26 49.2396	-83.0749054	APS 	I
14 31 08.5375	-83.0676880	APS 	I
14 35 27.5403	-83.0602875	APS 	I
14 39 46.2063	-83.0527039	APS 	I
14 44 04.6119	-83.0449448	APS 	I
14 48 22.7013	-83.0370178	APS 	I
14 52 40.4335	-83.0289154	APS 	I
14 56 57.8879	-83.0206451	APS 	I
15 01 15.0125	-83.0122070	APS 	I
15 05 31.7631	-83.0036087	APS 	I
15 09 48.2184	-82.9948502	APS 	I
15 14 04.3303	-82.9859390	APS 	I
15 18 20.0577	-82.9768753	APS 	I
15 22 35.4691	-82.9676666	APS 	I
15 26 50.5269	-82.9583054	APS 	I
15 31 05.1867	-82.9488068	APS 	I
15 35 19.5270	-82.9391708	APS 	I
15 39 33.4933	-82.9293976	APS 	I
15 43 47.0507	-82.9194946	APS 	I
15 48 00.2754	-82.9094543	APS 	I
15 52 13.1189	-82.8992996	APS 	I
15 56 25.5433	-82.8890228	APS 	I
16 00 37.6351	-82.8786240	APS 	I
16 04 49.3317	-82.8681183	APS 	I
16 09 00.5961	-82.8574982	APS 	I
16 13 11.5169	-82.8467789	APS 	I
16 17 22.0463	-82.8359528	APS 	I
16 21 32.1433	-82.8250275	APS 	I
16 25 41.8833	-82.8140030	APS 	I
16 29 51.2178	-82.8028946	APS 	I
16 34 00.1200	-82.7916946	APS 	I
16 38 08.6651	-82.7804184	APS 	I
16 42 16.8048	-82.7690506	APS 	I
16 46 24.5121	-82.7576141	APS 	I
16 50 31.8491	-82.7461090	APS 	I
16 54 38.7871	-82.7345276	APS 	I
16 58 45.2859	-82.7228928	APS 	I
17 02 51.4143	-82.7111893	APS 	I
17 06 57.1439	-82.6994324	APS 	I
17 11 02.4205	-82.6876221	APS 	I
17 15 07.3404	-82.6757584	APS 	I
17 19 11.8614	-82.6638565	APS 	I
17 23 15.9435	-82.6519089	APS 	I
17 27 19.6545	-82.6399307	APS 	I
17 31 22.9674	-82.6279144	APS 	I
17 35 25.8407	-82.6158676	APS 	I
17 39 28.3572	-82.6037903	APS 	I
17 43 30.4821	-82.5916977	APS 	I
17 47 32.1605	-82.5795898	APS 	I
17 51 33.4890	-82.5674591	APS 	I
17 55 34.4193	-82.5553207	APS 	I
17 59 34.9307	-82.5431747	APS 	I
18 03 35.0849	-82.5310287	APS 	I
18 07 34.8477	-82.5188751	APS 	I
18 11 34.1847	-82.5067368	APS 	I
18 15 33.1787	-82.4945984	APS 	I
18 19 31.7881	-82.4824753	APS 	I
18 23 29.9853	-82.4703598	APS 	I
18 27 27.8395	-82.4582748	APS 	O
18 24 58.2261	-81.4620667	APS 	I
18 22 59.6769	-80.4650726	APS 	I
18 21 23.3953	-79.4675140	APS 	I
18 20 03.6071	-78.4695358	APS 	I
18 18 56.3778	-77.4712372	APS 	I
18 17 58.9193	-76.4726868	APS 	I
18 17 09.2335	-75.4739532	APS 	I
18 16 46.8145	-74.9745178	APS 	O
18 16 06.0759	-73.9755478	APS 	I
18 15 30.0063	-72.9764633	APS 	I
18 14 57.8166	-71.9772797	APS 	I
18 14 28.9086	-70.9780121	APS 	I
18 14 02.7819	-69.9786682	APS 	I
18 13 39.0447	-68.9792709	APS 	I
18 13 17.3673	-67.9798203	APS 	I
18 13 07.2185	-67.4800797	APS 	O
18 09 07.4625	-67.4922180	APS 	I
18 05 07.6239	-67.5043640	APS 	I
18 01 07.6278	-67.5165176	APS 	I
17 57 07.5078	-67.5286636	APS 	I
17 53 07.3053	-67.5408020	APS 	I
17 49 06.9384	-67.5529327	APS 	I
17 45 06.4476	-67.5650558	APS 	I
17 43 06.1749	-67.5711060	APS 	O
17 39 05.4987	-67.5831985	APS 	I
17 35 04.7400	-67.5952682	APS 	I
17 31 03.8169	-67.6073151	APS 	I
17 27 02.7699	-67.6193314	APS 	I
17 23 01.6339	-67.6313095	APS 	I
17 19 00.3465	-67.6432495	APS 	I
17 14 58.9290	-67.6551590	APS 	I
17 12 58.1958	-67.6610870	APS 	O
17 13 18.6373	-68.6605911	APS 	I
17 13 40.9807	-69.6600418	APS 	I
17 13 52.9629	-70.1597443	APS 	O
17 09 51.1743	-70.1715927	APS 	I
17 05 49.2759	-70.1833878	APS 	I
17 01 47.2059	-70.1951294	APS 	I
16 57 44.9985	-70.2068176	APS 	I
16 53 42.6951	-70.2184448	APS 	I
16 49 40.2132	-70.2300034	APS 	I
16 45 37.5869	-70.2415009	APS 	I
16 41 34.8648	-70.2529221	APS 	I
16 37 31.9707	-70.2642746	APS 	I
16 33 28.9393	-70.2755432	APS 	I
16 29 25.8119	-70.2867279	APS 	I
16 25 22.5127	-70.2978363	APS 	I
16 21 19.0764	-70.3088455	APS 	I
16 17 15.5577	-70.3197708	APS 	I
16 13 11.8603	-70.3305969	APS 	I
16 09 08.0323	-70.3413162	APS 	I
16 05 04.1085	-70.3519440	APS 	I
16 01 00.0264	-70.3624573	APS 	I
15 56 55.8143	-70.3728638	APS 	I
15 52 51.5193	-70.3831635	APS 	I
15 48 47.0567	-70.3933411	APS 	I
15 44 42.4629	-70.4033966	APS 	I
15 40 37.7940	-70.4133301	APS 	I
15 36 32.9637	-70.4231415	APS 	I
15 32 28.0133	-70.4328232	APS 	I
15 28 22.9839	-70.4423676	APS 	I
15 24 17.7999	-70.4517822	APS 	I
15 20 12.4959	-70.4610596	APS 	I
15 16 07.1195	-70.4701920	APS 	I
15 12 01.5923	-70.4791794	APS 	I
15 07 55.9553	-70.4880219	APS 	I
15 03 50.2459	-70.4967117	APS 	I
14 59 44.3961	-70.5052490	APS 	I
14 56 39.9459	-70.5115433	APS 	O
14 52 33.9103	-70.5198135	APS 	I
14 48 27.8100	-70.5279083	APS 	I
14 44 21.5685	-70.5358505	APS 	I
14 40 15.2310	-70.5436249	APS 	I
14 36 08.8351	-70.5512238	APS 	I
14 32 02.3085	-70.5586624	APS 	I
14 27 55.6899	-70.5659180	APS 	I
14 23 49.0157	-70.5730057	APS 	I
14 19 42.2181	-70.5799103	APS 	I
14 15 35.3347	-70.5866318	APS 	I
14 11 28.4067	-70.5931778	APS 	I
14 07 21.3585	-70.5995331	APS 	I
14 03 14.2315	-70.6057053	APS 	I
13 59 07.0631	-70.6116867	APS 	I
13 54 59.7849	-70.6174774	APS 	I
13 50 52.4277	-70.6230698	APS 	I
13 49 50.6089	-70.6244431	APS 	O
13 50 02.7456	-71.6243057	APS 	I
13 50 16.2243	-72.6241608	APS 	I
13 50 31.2961	-73.6239929	APS 	I
13 50 48.2701	-74.6238022	APS 	I
13 51 07.5441	-75.6235962	APS 	O
20 38 42.0018	 -7.5634623	AQR 	I
20 38 39.6945	 -6.5635080	AQR 	I
20 38 37.3941	 -5.5635533	AQR 	I
20 38 35.1078	 -4.5635982	AQR 	I
20 38 32.8211	 -3.5636432	AQR 	I
20 38 30.5415	 -2.5636883	AQR 	I
20 38 28.2689	 -1.5637331	AQR 	I
20 38 25.9959	 -0.5637780	AQR 	I
20 38 23.7231	  0.4361772	AQR 	O
20 38 21.4505	  1.4361323	AQR 	I
20 38 19.1706	  2.4360874	AQR 	O
20 42 19.2427	  2.4454920	AQR 	I
20 46 19.3213	  2.4547608	AQR 	I
20 50 19.3657	  2.4638896	AQR 	I
20 54 19.4443	  2.4728787	AQR 	I
20 56 19.4633	  2.4773185	AQR 	O
21 00 19.5419	  2.4860904	AQR 	I
21 04 19.6277	  2.4947140	AQR 	I
21 08 19.6789	  2.5031860	AQR 	I
21 12 19.7643	  2.5115056	AQR 	I
21 16 19.8570	  2.5196695	AQR 	I
21 20 19.9083	  2.5276737	AQR 	I
21 24 20.0005	  2.5355186	AQR 	I
21 26 20.0331	  2.5393796	AQR 	O
21 30 20.1323	  2.5469787	AQR 	I
21 34 20.2249	  2.5544112	AQR 	O
21 34 18.8997	  3.3043909	AQR 	O
21 38 18.9921	  3.3116543	AQR 	I
21 42 19.1189	  3.3187475	AQR 	I
21 46 19.2525	  3.3256676	AQR 	O
21 46 20.9007	  2.3256910	AQR 	O
21 50 20.9587	  2.3324335	AQR 	I
21 54 21.0510	  2.3389995	AQR 	I
21 58 21.1505	  2.3453860	AQR 	I
22 02 21.2017	  2.3515899	AQR 	I
22 06 21.3012	  2.3576119	AQR 	O
22 06 20.9441	  2.6076074	AQR 	O
22 10 21.0573	  2.6134443	AQR 	I
22 14 21.1359	  2.6190934	AQR 	I
22 18 21.2490	  2.6245549	AQR 	I
22 22 21.3621	  2.6298258	AQR 	I
22 26 21.4476	  2.6349041	AQR 	I
22 30 21.5676	  2.6397896	AQR 	I
22 34 21.6807	  2.6444802	AQR 	I
22 38 21.7593	  2.6489737	AQR 	I
22 42 21.8862	  2.6532702	AQR 	I
22 46 22.0062	  2.6573677	AQR 	I
22 50 22.0917	  2.6612642	AQR 	I
22 51 22.1321	  2.6622071	AQR 	O
22 51 23.0313	  1.6622140	AQR 	I
22 51 23.9310	  0.6622211	AQR 	O
22 51 24.8307	 -0.3377719	AQR 	I
22 51 25.7299	 -1.3377649	AQR 	I
22 51 26.6295	 -2.3377581	AQR 	I
22 51 27.5289	 -3.3377509	AQR 	O
22 55 27.3605	 -3.3341103	AQR 	I
22 59 27.1579	 -3.3306730	AQR 	I
23 03 26.9892	 -3.3274388	AQR 	I
23 07 26.8209	 -3.3244095	AQR 	I
23 11 26.6111	 -3.3215861	AQR 	I
23 15 26.4359	 -3.3189690	AQR 	I
23 19 26.2743	 -3.3165591	AQR 	I
23 23 26.0577	 -3.3143575	AQR 	I
23 27 25.8894	 -3.3123643	AQR 	I
23 31 25.7139	 -3.3105805	AQR 	I
23 35 25.5113	 -3.3090067	AQR 	I
23 39 25.3357	 -3.3076429	AQR 	I
23 43 25.1605	 -3.3064899	AQR 	I
23 47 24.9507	 -3.3055482	AQR 	I
23 51 24.7755	 -3.3048177	AQR 	I
23 55 24.6003	 -3.3042989	AQR 	I
23 56 24.5307	 -3.3042023	AQR 	O
23 56 24.6199	 -4.3042021	AQR 	I
23 56 24.7023	 -5.3042026	AQR 	I
23 56 24.7917	 -6.3042021	AQR 	O
23 56 24.8809	 -7.3042021	AQR 	I
23 56 24.9702	 -8.3042021	AQR 	I
23 56 25.0595	 -9.3042011	AQR 	I
23 56 25.1487	-10.3042021	AQR 	I
23 56 25.2381	-11.3042021	AQR 	I
23 56 25.3273	-12.3042011	AQR 	I
23 56 25.4163	-13.3042021	AQR 	I
23 56 25.5055	-14.3042021	AQR 	I
23 56 25.6017	-15.3042011	AQR 	I
23 56 25.6977	-16.3042011	AQR 	I
23 56 25.7871	-17.3042011	AQR 	I
23 56 25.8831	-18.3042011	AQR 	I
23 56 25.9797	-19.3042011	AQR 	I
23 56 26.0757	-20.3042011	AQR 	I
23 56 26.1787	-21.3042011	AQR 	I
23 56 26.2749	-22.3042011	AQR 	I
23 56 26.3778	-23.3042011	AQR 	I
23 56 26.4807	-24.3042011	AQR 	I
23 56 26.5355	-24.8042011	AQR 	O
23 52 27.9264	-24.8046646	AQR 	I
23 48 29.2759	-24.8053398	AQR 	I
23 44 30.6255	-24.8062248	AQR 	I
23 40 32.0091	-24.8073196	AQR 	I
23 36 33.3587	-24.8086243	AQR 	I
23 32 34.7013	-24.8101368	AQR 	I
23 28 36.0714	-24.8118610	AQR 	I
23 24 37.4073	-24.8137913	AQR 	I
23 20 38.7427	-24.8159313	AQR 	I
23 16 40.1127	-24.8182774	AQR 	I
23 12 41.4349	-24.8208313	AQR 	I
23 08 42.7503	-24.8235893	AQR 	I
23 06 43.4319	-24.8250446	AQR 	O
23 02 44.7331	-24.8281116	AQR 	I
22 58 46.0827	-24.8313808	AQR 	I
22 54 47.3771	-24.8348522	AQR 	I
22 50 48.6719	-24.8385258	AQR 	I
22 46 49.9869	-24.8423996	AQR 	I
22 42 51.2676	-24.8464737	AQR 	I
22 38 52.5347	-24.8507462	AQR 	I
22 34 53.8363	-24.8552132	AQR 	I
22 30 55.0897	-24.8598766	AQR 	I
22 26 56.3359	-24.8647346	AQR 	I
22 22 57.6030	-24.8697853	AQR 	I
22 18 58.8291	-24.8750267	AQR 	I
22 15 00.0483	-24.8804569	AQR 	I
22 11 01.2807	-24.8860760	AQR 	I
22 07 02.4791	-24.8918800	AQR 	I
22 03 03.6573	-24.8978710	AQR 	I
21 59 04.8693	-24.9040413	AQR 	O
21 59 03.0498	-23.9040642	AQR 	I
21 59 01.2573	-22.9040890	AQR 	I
21 58 59.4858	-21.9041119	AQR 	I
21 58 57.7488	-20.9041328	AQR 	I
